n,d,outlier_fraction,outlier_mag,trial,true_cv,true_M,oracle_decision,in_borderline,s,tau_name,tau,branch_taken,pilot_cv,M_hat,T_used,rel_error,match
1000,3,0.0,5.0,0,0.6607087487078306,6.077985671873188,uniform,0,10,3.0,3.0,uniform_exact,0.46513632846575714,1.5811567541016927,1000,0.0,1
1000,3,0.0,5.0,0,0.6607087487078306,6.077985671873188,uniform,0,30,1.5,1.5,uniform_exact,0.5825899979641085,2.798195485041038,1000,0.0,1
1000,3,0.0,5.0,0,0.6607087487078306,6.077985671873188,uniform,0,30,sqrt(log n),2.628260884878466,uniform_exact,0.5825899979641085,2.798195485041038,1000,0.0,1
1000,3,0.0,5.0,0,0.6607087487078306,6.077985671873188,uniform,0,30,3.0,3.0,uniform_exact,0.5825899979641085,2.798195485041038,1000,0.0,1
1000,3,0.0,5.0,0,0.6607087487078306,6.077985671873188,uniform,0,50,1.5,1.5,uniform_exact,0.6502633087139242,3.7790097690437294,1000,0.0,1
1000,3,0.0,5.0,0,0.6607087487078306,6.077985671873188,uniform,0,50,sqrt(log n),2.628260884878466,uniform_exact,0.6502633087139242,3.7790097690437294,1000,0.0,1
1000,3,0.0,5.0,0,0.6607087487078306,6.077985671873188,uniform,0,50,3.0,3.0,uniform_exact,0.6502633087139242,3.7790097690437294,1000,0.0,1
1000,3,0.0,5.0,0,0.6607087487078306,6.077985671873188,uniform,0,100,1.5,1.5,uniform_exact,0.5302225224164837,2.626778456331656,1000,0.0,1
1000,3,0.0,5.0,0,0.6607087487078306,6.077985671873188,uniform,0,100,sqrt(log n),2.628260884878466,uniform_exact,0.5302225224164837,2.626778456331656,1000,0.0,1
1000,3,0.0,5.0,0,0.6607087487078306,6.077985671873188,uniform,0,100,3.0,3.0,uniform_exact,0.5302225224164837,2.626778456331656,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,10,1.5,1.5,uniform_exact,0.7301685881815331,2.7762449781991627,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,10,sqrt(log n),2.628260884878466,uniform_exact,0.7301685881815331,2.7762449781991627,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,10,3.0,3.0,uniform_exact,0.7301685881815331,2.7762449781991627,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,30,1.5,1.5,uniform_exact,0.649430274336164,3.3831568395707836,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,30,sqrt(log n),2.628260884878466,uniform_exact,0.649430274336164,3.3831568395707836,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,30,3.0,3.0,uniform_exact,0.649430274336164,3.3831568395707836,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,50,1.5,1.5,uniform_exact,0.5793297756082904,2.383774647052662,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,50,sqrt(log n),2.628260884878466,uniform_exact,0.5793297756082904,2.383774647052662,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,50,3.0,3.0,uniform_exact,0.5793297756082904,2.383774647052662,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,100,1.5,1.5,uniform_exact,0.6052412608203578,3.8983465463591114,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,100,sqrt(log n),2.628260884878466,uniform_exact,0.6052412608203578,3.8983465463591114,1000,0.0,1
1000,3,0.0,5.0,1,0.6504739835154975,5.5695015501111715,uniform,0,100,3.0,3.0,uniform_exact,0.6052412608203578,3.8983465463591114,1000,0.0,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,10,1.5,1.5,uniform,0.2618773873321339,1.549191410461173,686,0.022132648228181173,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,10,sqrt(log n),2.628260884878466,uniform,0.2618773873321339,1.549191410461173,686,0.022132648228181173,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,10,3.0,3.0,uniform,0.2618773873321339,1.549191410461173,686,0.022132648228181173,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,30,1.5,1.5,uniform_exact,0.5449299032916687,2.3362140538542935,1000,0.0,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,30,sqrt(log n),2.628260884878466,uniform_exact,0.5449299032916687,2.3362140538542935,1000,0.0,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,30,3.0,3.0,uniform_exact,0.5449299032916687,2.3362140538542935,1000,0.0,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,50,1.5,1.5,uniform_exact,0.7771946669609261,3.944076675955113,1000,0.0,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,50,sqrt(log n),2.628260884878466,uniform_exact,0.7771946669609261,3.944076675955113,1000,0.0,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,50,3.0,3.0,uniform_exact,0.7771946669609261,3.944076675955113,1000,0.0,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,100,1.5,1.5,uniform_exact,0.5878388662894362,3.450705641114502,1000,0.0,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,100,sqrt(log n),2.628260884878466,uniform_exact,0.5878388662894362,3.450705641114502,1000,0.0,1
1000,3,0.0,5.0,2,0.6694892343956219,5.3838442549691585,uniform,0,100,3.0,3.0,uniform_exact,0.5878388662894362,3.450705641114502,1000,0.0,1
1000,3,0.0,10.0,0,0.6398166324088268,6.140337691272391,uniform,0,10,1.5,1.5,uniform_exact,0.5135039747008595,1.9216196803304446,1000,0.0,1
1000,3,0.0,10.0,0,0.6398166324088268,6.140337691272391,uniform,0,10,sqrt(log n),2.628260884878466,uniform_exact,0.5135039747008595,1.9216196803304446,1000,0.0,1
1000,3,0.0,10.0,0,0.6398166324088268,6.140337691272391,uniform,0,10,3.0,3.0,uniform_exact,0.5135039747008595,1.9216196803304446,1000,0.0,1
