n,d,outlier_fraction,outlier_mag,trial,s,true_cv,true_M,cv_hat,pilot_cv,M_hat,cv_rel_error,M_rel_error
1000,3,0.0,5.0,0,30,0.6607087487078306,6.077985671873188,0.34705814058851936,0.34705814058851936,1.847362597601283,0.4747184122092039,0.6960567699015421
1000,3,0.0,5.0,0,50,0.6607087487078306,6.077985671873188,0.7895892076913172,0.7895892076913172,3.7038903288767786,0.1950639510004103,0.3906056169205696
1000,3,0.0,5.0,0,100,0.6607087487078306,6.077985671873188,0.8158070766530786,0.8158070766530786,6.064604563709933,0.23474538251321606,0.002201569547157414
1000,3,0.0,5.0,1,10,0.6504739835154975,5.5695015501111715,0.47371112117595493,0.47371112117595493,2.0895004352485667,0.27174470742738194,0.6248316987708068
1000,3,0.0,5.0,1,30,0.6504739835154975,5.5695015501111715,0.5267961903945575,0.5267961903945575,2.4855916532928477,0.19013488049517566,0.5537138052788165
1000,3,0.0,5.0,1,50,0.6504739835154975,5.5695015501111715,0.9063406397275667,0.9063406397275667,6.281818319837661,0.39335417356622576,0.12789596399560582
1000,3,0.0,5.0,1,100,0.6504739835154975,5.5695015501111715,0.7422144069751186,0.7422144069751186,5.315640254909097,0.14103626860494642,0.045580613079640425
1000,3,0.0,5.0,2,10,0.6694892343956219,5.3838442549691585,0.762500259183755,0.762500259183755,2.9769496948380407,0.1389283352287185,0.44705872721143675
1000,3,0.0,5.0,2,30,0.6694892343956219,5.3838442549691585,0.5830714176356607,0.5830714176356607,2.876625747618171,0.12908021865052757,0.46569298601772985
1000,3,0.0,5.0,2,50,0.6694892343956219,5.3838442549691585,0.5956778757329796,0.5956778757329796,3.0676176682540066,0.11025025477709909,0.4302179775310793
1000,3,0.0,5.0,2,100,0.6694892343956219,5.3838442549691585,0.6857981204591158,0.6857981204591158,3.4236982810782766,0.02436019165896919,0.3640792491502172
1000,3,0.0,10.0,0,10,0.6398166324088268,6.140337691272391,0.5217964431176154,0.5217964431176154,2.0762897219575898,0.18445939557226051,0.6618606620107005
1000,3,0.0,10.0,0,30,0.6398166324088268,6.140337691272391,0.6293689128660025,0.6293689128660025,3.0644909481490292,0.016329240306695365,0.5009246881478907
1000,3,0.0,10.0,0,50,0.6398166324088268,6.140337691272391,0.8077384755731173,0.8077384755731173,5.113931123751959,0.2624530758634493,0.16715799995484318
1000,3,0.0,10.0,0,100,0.6398166324088268,6.140337691272391,0.5949990349915365,0.5949990349915365,3.8552173262924128,0.07004756542285849,0.37214897288596177
1000,3,0.0,10.0,1,10,0.6645481406412764,5.726033896808133,0.3476831496102926,0.3476831496102926,1.823290392097781,0.4768126967072921,0.6815788336296543
1000,3,0.0,10.0,1,30,0.6645481406412764,5.726033896808133,0.5588090133665011,0.5588090133665011,2.8477379625080057,0.1591143226625223,0.5026683366133368
1000,3,0.0,10.0,1,50,0.6645481406412764,5.726033896808133,0.824057454535225,0.824057454535225,5.448720122446618,0.24002672513691053,0.04843034102821118
1000,3,0.0,10.0,1,100,0.6645481406412764,5.726033896808133,0.759939338448,0.759939338448,5.614155877035892,0.14354294591009292,0.01953848366748316
1000,3,0.0,10.0,2,10,0.6625855174916219,6.889022080403152,0.3255051227542786,0.3255051227542786,1.4916970964955731,0.5087349267962312,0.7834675111959755
