dataset,trial,n_a,true_cv,true_M,tau,exact_nn_query_cost,uniform_nn_query_cost,is_nn_query_cost,is_T_IS,bf_time,u_time,u_err,is_time,is_err,ad_time,ad_err,ad_branch,ad_pilot_cv,ad_M_hat,ad_T_used,bernstein_oracle,bernstein_correct
ShapeNet-like,10,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0012601999987964518,0.28751310032656535,0.08879519999936747,0.006471158388056281,0.07912580000083835,0.037842468083847294,uniform,0.6218933935930542,3.457026292464699,3868,is,0
ShapeNet-like,11,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0013567999994847924,0.5617435735551267,0.08820969999942463,0.00794924804390537,0.09150499999850581,0.0071116251426503,is,3.2060075644159736,16.68900587911464,3595,is,1
ShapeNet-like,12,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.001966300000276533,0.0230050849134642,0.17544169999928272,0.022848190654856486,0.17569469999943976,0.0044782616710829885,is,3.9225684714906897,28.111702826672932,3595,is,1
ShapeNet-like,13,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.001976999999897089,0.7622799927181486,0.17198760000064794,0.039731032833198586,0.27286220000132744,0.013838184570796911,uniform,0.8362703978099534,5.614656694206225,6994,is,0
ShapeNet-like,14,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.002252099999168422,0.3865653229816105,0.1738746999999421,0.00045077861261871524,0.1544462999991083,0.06404015905161183,uniform,0.6349739716255756,3.2201121216798736,4032,is,0
ShapeNet-like,15,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0020421000008354895,1.04246580582555,0.17290129999855708,0.017086190829522615,0.17674740000074962,0.015488846254923973,is,3.53534339484155,22.411895348146466,3595,is,1
ShapeNet-like,16,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0019727999988390366,0.03185973428541448,0.1694009000002552,0.0207065265963417,0.313910399998349,0.0,uniform_exact,2.831654877819244,16.374912866972593,8000,is,0
ShapeNet-like,17,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0022303000005194917,0.3172449266177717,0.16956050000044343,0.008582730948427205,0.3106248999993113,0.0,uniform_exact,2.5903533659600444,13.305887960987933,8000,is,0
ShapeNet-like,18,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0020249999997759005,0.5383842727048926,0.17323030000079598,0.006841878547882888,0.17907589999958873,0.012959715205927582,is,3.357135899950396,24.146769842702568,3595,is,1
ShapeNet-like,19,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0019869999996444676,0.5275272367032154,0.16614990000016405,0.004192133848732858,0.2523860999990575,0.028029613446407094,uniform,0.8138763100450723,4.020308588956855,6624,is,0
Text-like,0,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008684300000822986,0.0008802640623303589,0.593275100000028,0.0013071228613769903,0.009105699999054195,0.007837278081836157,uniform,0.02856956130343779,1.0504286416860034,50,uniform,1
Text-like,1,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008861899999828893,0.004425275350424724,0.6111701000008907,0.00018040908885712449,0.008520899998984532,0.0042109196118810715,uniform,0.0323152496537507,1.0740524182083226,50,uniform,1
Text-like,2,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.009623200001442456,0.0072426541961898554,0.6242230000007112,0.005089251589643522,0.0098571999988053,0.0011622664439470002,uniform,0.033817179452233254,1.0931151483515629,50,uniform,1
Text-like,3,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008665100000143866,0.0028381132087107125,0.6197594000004756,0.0001565321365511498,0.00976730000002135,0.0020813444033314903,uniform,0.028417386451599316,1.054381998026242,50,uniform,1
Text-like,4,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008786700000200653,0.00018118097093995476,0.6147832000006019,0.0004690692668555468,0.009100299999772687,0.004954891495132368,uniform,0.03169039272130472,1.1047288196915135,50,uniform,1
Text-like,5,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008012000000235275,0.004985308709239385,0.5865102999996452,0.00044518230905687153,0.008776199998465017,0.0045699094537762185,uniform,0.026601680283214257,1.054970425954597,50,uniform,1
Text-like,6,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008147000000462867,0.0048768704937891955,0.5965646000004199,0.0013964566938989178,0.009209800000462565,0.005501107622887029,uniform,0.03151963784237613,1.0710941064502104,50,uniform,1
Text-like,7,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.00830839999980526,0.0049246267514806855,0.6055821999998443,0.0015309382435169596,0.009545099999741069,0.00177059159365434,uniform,0.03435659568267396,1.076949014252157,50,uniform,1
Text-like,8,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.00918910000109463,0.00539363104465586,0.6243426999990334,0.002172611956173554,0.00961279999864928,0.0014111801675994991,uniform,0.02399615274065334,1.0689992765339582,50,uniform,1
Text-like,9,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008348999999725493,0.0022954927486010385,0.6202886000010039,0.0013102521169538787,0.010204400001384784,0.005069756941587129,uniform,0.028814221484780172,1.053940555527044,50,uniform,1
Text-like,10,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.009355899999718531,0.0025097871210064807,0.6130424000002677,0.0011201928458744435,0.009087000000363332,0.00496839544616498,uniform,0.029030639821127913,1.0727088336944395,50,uniform,1
Text-like,11,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008511399999406422,0.00019339778330024115,0.6234062000003178,0.003518160171190157,0.008907899999030633,0.00039023731325230987,uniform,0.0305101853398495,1.0848247539680556,50,uniform,1
Text-like,12,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008018900000024587,0.0020050571984191606,0.5851034999996045,0.000932163779728232,0.008791399999608984,0.0008606794421704246,uniform,0.02886393677428176,1.0560376842949293,50,uniform,1
Text-like,13,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008667899999636575,0.0035426247500699687,0.5874213000006421,7.267539114861253e-05,0.008974300000772928,0.0008238438496386033,uniform,0.028764549242913728,1.0556168923806528,50,uniform,1
Text-like,14,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008413600000494625,0.0010466618359671331,0.623692299999675,0.0018518094677098208,0.010506599999644095,0.006139280868701164,uniform,0.030402757155487167,1.0652480466571443,50,uniform,1
Text-like,15,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.010150599999178667,0.0028666308300329428,0.609198699999979,0.0015168227924802903,0.008853100000123959,0.0004945381560031742,uniform,0.02959466776532836,1.076247908088927,50,uniform,1
Text-like,16,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008336400000189315,0.001520279782126729,0.6251195000004373,0.00018547359738538114,0.00955229999999574,0.004267111022334284,uniform,0.027991746697198647,1.069078078692415,50,uniform,1
Text-like,17,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.009191900000587339,0.002114215363650084,0.5997903999996197,0.0002522073602338434,0.009022899999763467,0.0008349217225723263,uniform,0.029621946256699876,1.072070284670601,50,uniform,1
Text-like,18,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.008377199999813456,0.0028262160500231773,0.5802053000006708,0.003614128483903123,0.009561099999700673,0.006853328145931923,uniform,0.026958321231984536,1.066429235964902,50,uniform,1
Text-like,19,2500,0.02925267010677603,1.0992550082583963,2.797149622536537,2500,50,3137.8240460108564,3130,0.4131450999993831,0.00824789999933273,0.0015906360898293582,0.5877543000005971,0.00019655401606488723,0.009280800000851741,0.0031024371618625832,uniform,0.026814262841295393,1.050156396521285,50,uniform,1
Outlier,0,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0009432999995624414,0.401978469168542,0.04507250000096974,5.263633305888451e-05,0.003066999999646214,0.37829304814553005,uniform,0.12591692247545097,1.2835103536102734,159,uniform,1
Outlier,1,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005737999999837484,0.3758963486198541,0.04265980000127456,0.006202717425463519,0.0018203999989054864,0.3804775174444596,uniform,0.1192209495042852,1.2530729065663024,143,uniform,1
Outlier,2,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005445000006147893,0.3717555702326554,0.045927500001198496,0.006622341141085189,0.002446500000587548,0.38295547752751735,uniform,0.14529737897109557,1.3839880563571105,212,uniform,1
Outlier,3,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005536999997275416,0.3936933807815044,0.044686699999147095,0.001358936048170637,0.0019383999988349387,0.3892555889620358,uniform,0.11483399720878527,1.2176441908171376,132,uniform,1
Outlier,4,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005471999993460486,0.38768466873526297,0.04549120000046969,0.00037773968527402154,0.001719900001262431,0.38337593910799567,uniform,0.12224586280692026,1.2861444377682831,150,uniform,1
Outlier,5,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005361000003176741,0.3836895627081412,0.046716899998500594,0.00931871670085426,0.0023224000015034107,0.3933573466002581,uniform,0.14015103928083902,1.3333864834791525,197,uniform,1
Outlier,6,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005602999990514945,0.3671638469935871,0.04968109999936132,0.005889394720501434,0.004550100000415114,0.38705393036898483,uniform,0.12639580006719373,1.3555835477612244,160,uniform,1
Outlier,7,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0006542999999510357,0.38293830515542365,0.05012239999996382,0.00516092894579265,0.002357999999730964,0.38743045191709663,uniform,0.12495079183493088,1.2891107349195312,157,uniform,1
Outlier,8,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005607000002783025,0.36822462923855975,0.04890549999981886,0.0006398408390543463,0.003537599999617669,0.3797323458394105,uniform,0.13123380063216825,1.3177181819223551,173,uniform,1
Outlier,9,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005773000011686236,0.3774299808645521,0.04858119999880728,0.005256614074836004,0.0023277000000234693,0.39127234238361935,uniform,0.13872060160923488,1.4106400226050357,193,uniform,1
Outlier,10,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0014257999991968973,0.3833501271614647,0.050425599998561665,0.009973083210426451,0.002133500000127242,0.3796151020714872,uniform,0.134651470146737,1.378099278698083,182,uniform,1
Outlier,11,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005880999997316394,0.3826608436239295,0.048780600000100094,0.0006227374023554584,0.0021559999986493494,0.3824765929350453,uniform,0.12094174468964601,1.4170204686613919,147,uniform,1
Outlier,12,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0012652000004891306,0.3987172945785733,0.0524639000013849,0.009211703201198459,0.0018916999997600215,0.3774129902955472,uniform,0.1260153474395575,1.2422514090252916,159,uniform,1
Outlier,13,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0018061999999190448,0.38287110564327126,0.04885620000095514,0.000540732510858135,0.0017969000000448432,0.385615095287153,uniform,0.12021333382400529,1.3384830211192615,145,uniform,1
Outlier,14,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005433999995148042,0.39707490394690365,0.049314799998683156,0.010034529452688285,0.0025258000005123904,0.38636769892609396,uniform,0.1441277827413722,1.314619791434263,208,uniform,1
Outlier,15,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005595999991783174,0.39782784828896356,0.05077949999940756,0.002377871223142092,0.0021510000005946495,0.38963780746731125,uniform,0.13454060198766513,1.349024206620433,182,uniform,1
Outlier,16,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005696999996871455,0.38181388035590225,0.0530257000009442,0.006443625897640082,0.002535800000259769,0.38071151201741465,uniform,0.13572149470512737,1.3607530276132562,185,uniform,1
Outlier,17,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.000625900000159163,0.3601741230135327,0.050612200000614394,0.00499393794187997,0.0023431999998138053,0.38139998699876715,uniform,0.1279911327283088,1.3207526896397421,164,uniform,1
Outlier,18,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005571000001509674,0.39620654881725764,0.050103999999919324,0.010229156921752377,0.001835400000345544,2.1867801769969986,uniform,0.12166861143737774,1.2337684810073037,149,uniform,1
Outlier,19,1000,12.069172738591654,382.46093400018253,2.628260884878466,1000,50,2770.907755278982,2764,0.009169500001007691,0.0005492000000231201,0.38403680289933967,0.05373650000001362,0.0032303606109020688,0.002474300001267693,0.3863660849093262,uniform,0.14447779165429586,1.345941775560347,209,uniform,1
