n,true_cv,true_M,cv_hat,M_hat,cost_unif_chebyshev,cost_unif_bernstein,cost_is,tau,branch_taken,oracle_decision,rel_error,in_borderline
1000,2.186629044024305,23.67565527185168,2.5770971689009734,18.53774806807525,1000,1000,2770.0098668718365,0.5,is,uniform,0.012161302983379264,0
1000,2.202788337834508,23.474969597415352,0.5558425701525566,2.891828815684491,1000,1000,2770.0098668718365,0.5,is,uniform,0.0013740602531639758,1
1000,0.668926440883736,6.047119721303887,0.6629451876778858,4.215164225977127,1000,687.7568181231449,2770.0098668718365,0.5,is,uniform,0.01836605251728084,0
1000,0.6096939094021688,4.754850690421404,0.5149307342333465,2.4576037530768513,1000,561.8565535974923,2770.0098668718365,0.5,is,uniform,0.0030983247632261246,0
1000,0.619980694353103,5.711189635441723,0.6869727637496721,4.983309463682573,1000,609.0405737763899,2770.0098668718365,0.5,is,uniform,0.013011581707809054,0
1000,1.0363964890753734,8.83629684462703,0.6931816628832836,4.472676011138009,1000,1000,2770.0098668718365,0.5,is,uniform,0.012246016955134406,0
1000,1.0808453099122093,9.327938871539764,1.0706100002337515,7.529709690935192,1000,1000,2770.0098668718365,0.5,is,uniform,0.01167282022881987,0
1000,1.0555990939448983,9.079803243418585,1.0578636192548907,6.521341630108163,1000,1000,2770.0098668718365,0.5,is,uniform,0.010897768498346517,0
1000,2.4223349633420703,19.324723385669508,2.323512736300303,16.713830521579776,1000,1000,2770.0098668718365,0.5,is,uniform,0.045373349132057324,1
1000,2.4594205603819232,19.349043540692758,2.5304175467871204,18.31762690406223,1000,1000,2770.0098668718365,0.5,is,uniform,0.0014437351416526302,1
1000,2.441556227376376,19.145175988469532,2.7210236474948557,14.74312226163864,1000,1000,2770.0098668718365,0.5,is,uniform,0.009835954707082475,1
1000,0.6787566315775071,6.9795351614658365,0.4932625075459373,2.4198292712867953,1000,734.7301064462791,2770.0098668718365,0.5,uniform_exact,uniform,0.0,0
1000,0.6273247767797993,5.416408240314115,0.5416405538289764,2.6783660448022633,1000,608.3351215613185,2770.0098668718365,0.5,is,uniform,0.00229008581562814,0
1000,0.6436184853347732,6.685255422490038,0.7995329785255542,5.483127132742024,1000,675.097401560128,2770.0098668718365,0.5,is,uniform,0.0039038377905309648,0
1000,1.322654341020879,7.809373922547658,0.9389297481180515,6.045813418540743,1000,1000,2770.0098668718365,0.5,is,uniform,0.011106118226111326,0
1000,1.2985808873964355,8.313744404611858,1.3489334573296912,6.154172419776214,1000,1000,2770.0098668718365,0.5,is,uniform,0.026112303403142127,0
1000,1.208561744925839,7.712949719548932,1.3232640696736397,6.5563696366128354,1000,1000,2770.0098668718365,0.5,is,uniform,0.023193478197057874,0
1000,2.507398434602011,12.789785607408268,2.345080106964511,16.81037230973184,1000,1000,2770.0098668718365,0.5,is,uniform,0.001996230572018516,1
1000,2.520669114923294,12.78671987327333,2.416618114714142,12.82942787641423,1000,1000,2770.0098668718365,0.5,is,uniform,0.02171634490699408,1
1000,2.49068495781207,12.596211278828237,2.3545916223697034,10.353061289412233,1000,1000,2770.0098668718365,0.5,is,uniform,0.011530332291443611,1
1000,0.6524098435515786,7.086241475883487,0.5993746146985793,3.901894465238008,1000,701.3347232849229,2770.0098668718365,0.5,is,uniform,0.027928994643186825,0
1000,0.581167313005821,6.085439413528287,0.4741873511149366,1.8957120387939266,1000,572.85770424497,2770.0098668718365,0.5,uniform_exact,uniform,0.0,0
1000,0.6984683097008569,7.200833170425255,0.44855229708806577,2.1270200786325364,1000,771.3139441410074,2770.0098668718365,0.5,uniform_exact,uniform,0.0,0
1000,1.3537758517722411,6.291632634044208,1.2993232523536666,5.787003499646059,1000,1000,2770.0098668718365,0.5,is,uniform,0.01686511462726489,0
1000,1.367532997551312,6.235878482522877,1.4315249697286025,5.425996300273245,1000,1000,2770.0098668718365,0.5,is,uniform,0.000745848645521864,0
1000,1.3274574831627268,6.042607423381932,1.3969327781377823,6.020932246762647,1000,1000,2770.0098668718365,0.5,is,uniform,0.025602292617512068,0
1000,2.1745485439283283,8.206958182334139,1.8861301582157006,5.603751562214981,1000,1000,2770.0098668718365,0.5,is,uniform,0.0021596507105070477,0
1000,2.2071501455785794,8.244504029581895,2.8318403985035823,20.507433854512602,1000,1000,2770.0098668718365,0.5,is,uniform,0.0009716954944710448,1
1000,2.2131805137021714,8.13937339152958,2.2737289492941235,8.11573469007369,1000,1000,2770.0098668718365,0.5,is,uniform,0.012449696542067375,1
1000,0.596226390605092,7.59566327931635,0.5726452507415545,3.864714541272464,1000,644.9903306438464,2770.0098668718365,0.5,is,uniform,0.0020747108372017615,0
1000,0.5707637716995058,4.76013034379612,0.4757155033656834,2.413844089778482,1000,513.3458044551178,2770.0098668718365,0.5,uniform_exact,uniform,0.0,0
1000,0.6082008942884182,5.59710910895369,0.6125250877721026,3.225423877184917,1000,589.680079419608,2770.0098668718365,0.5,is,uniform,0.0030622195334884567,0
1000,1.2128763710131376,4.437108297044463,1.2221002765779356,3.9878478511653475,1000,1000,2770.0098668718365,0.5,is,uniform,0.020583177808851195,0
1000,1.222022170293529,4.453870144522961,1.4450934307841745,5.920951708867079,1000,1000,2770.0098668718365,0.5,is,uniform,0.0160344534485792,0
1000,1.2283430251331136,4.34226493758284,1.2642858719883578,4.313924475067066,1000,1000,2770.0098668718365,0.5,is,uniform,0.01029750098823606,0
