n,true_cv,true_M,M_hat,tau,tau_name,s,branch_taken,oracle_decision,rel_error,in_borderline
1000,0.8944373892679047,9.492564196854993,5.0978661538887895,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.8944373892679047,9.492564196854993,1.726085670315227,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.8944373892679047,9.492564196854993,1.726085670315227,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.8944373892679047,9.492564196854993,1.726085670315227,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.8944373892679047,9.492564196854993,2.8757719506872035,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.8944373892679047,9.492564196854993,2.8757719506872035,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.8944373892679047,9.492564196854993,2.8757719506872035,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.8944373892679047,9.492564196854993,2.5167001483926326,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.8944373892679047,9.492564196854993,2.5167001483926326,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.8944373892679047,9.492564196854993,2.5167001483926326,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,2.1600848596659037,23.591190740265375,1.4804679445368445,1.5,1.5,10,uniform,uniform,0.0017648486707478454,0
1000,2.1600848596659037,23.591190740265375,1.4804679445368445,2.628260884878466,sqrt(log n),10,uniform,uniform,0.0017648486707478454,0
1000,2.1600848596659037,23.591190740265375,1.4804679445368445,3.0,3.0,10,uniform,uniform,0.0017648486707478454,0
1000,2.1600848596659037,23.591190740265375,14.219100973316909,1.5,1.5,30,is,uniform,0.006330850400641984,0
1000,2.1600848596659037,23.591190740265375,14.219100973316909,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,2.1600848596659037,23.591190740265375,14.219100973316909,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,2.1600848596659037,23.591190740265375,2.089051851218011,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,2.1600848596659037,23.591190740265375,2.089051851218011,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,2.1600848596659037,23.591190740265375,2.089051851218011,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,2.1600848596659037,23.591190740265375,20.238290420569356,1.5,1.5,100,is,uniform,0.014244526866683115,0
1000,2.1600848596659037,23.591190740265375,20.238290420569356,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,2.1600848596659037,23.591190740265375,20.238290420569356,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,2.826297016695321,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,2.826297016695321,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,2.826297016695321,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,1.9449023871379305,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,1.9449023871379305,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,1.9449023871379305,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,4.142299284623917,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,4.142299284623917,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,4.142299284623917,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,5.2954566895652295,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,5.2954566895652295,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,2.186629044024305,23.67565527185168,5.2954566895652295,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,2.202788337834508,23.474969597415352,1.793412719646347,1.5,1.5,10,uniform_exact,uniform,0.0,1
1000,2.202788337834508,23.474969597415352,1.793412719646347,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,1
1000,2.202788337834508,23.474969597415352,1.793412719646347,3.0,3.0,10,uniform_exact,uniform,0.0,1
1000,2.202788337834508,23.474969597415352,3.7691460032825113,1.5,1.5,30,uniform_exact,uniform,0.0,1
1000,2.202788337834508,23.474969597415352,3.7691460032825113,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,1
1000,2.202788337834508,23.474969597415352,3.7691460032825113,3.0,3.0,30,uniform_exact,uniform,0.0,1
1000,2.202788337834508,23.474969597415352,3.619768297844281,1.5,1.5,50,uniform_exact,uniform,0.0,1
1000,2.202788337834508,23.474969597415352,3.619768297844281,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,1
1000,2.202788337834508,23.474969597415352,3.619768297844281,3.0,3.0,50,uniform_exact,uniform,0.0,1
1000,2.202788337834508,23.474969597415352,21.619384534725793,1.5,1.5,100,is,uniform,0.006076283557285327,1
1000,2.202788337834508,23.474969597415352,21.619384534725793,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,1
1000,2.202788337834508,23.474969597415352,21.619384534725793,3.0,3.0,100,uniform_exact,uniform,0.0,1
1000,0.668926440883736,6.047119721303887,1.9412178072885848,1.5,1.5,10,uniform_exact,uniform,0.0,0
